team,market_value_display,market_value_eur
France,1.52B,1520000000
England,1.36B,1360000000
Spain,1.22B,1220000000
Portugal,1.01B,1010000000
Germany,998M,998000000
Brazil,932M,932000000
Netherlands,766M,766000000
Argentina,575M,575000000
Belgium,534M,534000000
Norway,504M,504000000
Italy,495M,495000000
Ivory Coast,425M,425000000
Morocco,403M,403000000
Turkey,440M,440000000
Senegal,474M,474000000
Ecuador,366M,366000000
Sweden,363M,363000000
United States,356M,356000000
Colombia,300M,300000000
Croatia,283M,283000000
Japan,264M,264000000
Algeria,204M,204000000
Ghana,199M,199000000
Mexico,198M,198000000
DR Congo,153M,153000000
Paraguay,134M,134000000
Canada,133M,133000000
South Korea,129M,129000000
Egypt,108M,108000000
Uruguay,102M,102000000
Denmark,96M,96000000
Switzerland,92M,92000000
Nigeria,89M,89000000
Serbia,84M,84000000
Austria,81M,81000000
Ukraine,79M,79000000
Scotland,75M,75000000
Mali,72M,72000000
Cameroon,70M,70000000
Poland,68M,68000000
Czech Republic,65M,65000000
Wales,62M,62000000
Uzbekistan,63M,63000000
Tunisia,52M,52000000
Australia,51M,51000000
Greece,49M,49000000
Chile,48M,48000000
Iran,47M,47000000
Romania,46M,46000000
Hungary,45M,45000000
Republic of Ireland,43M,43000000
Peru,42M,42000000
Jamaica,40M,40000000
Costa Rica,39M,39000000
Saudi Arabia,31M,31000000
Iran,30M,30000000
Panama,32M,32000000
Curaçao,28M,28000000
Cape Verde,28M,28000000
South Africa,26M,26000000
Slovenia,25M,25000000
Albania,24M,24000000
Finland,24M,24000000
Georgia,23M,23000000
Slovakia,23M,23000000
Burkina Faso,22M,22000000
New Zealand,22M,22000000
Qatar,21M,21000000
Iceland,20M,20000000
Bosnia & Herzegovina,19M,19000000
Iraq,19M,19000000
Venezuela,18M,18000000
Honduras,17M,17000000
UAE,17M,17000000
Guinea,16M,16000000
Gabon,16M,16000000
Northern Ireland,15M,15000000
Jordan,15M,15000000
North Macedonia,14M,14000000
Montenegro,14M,14000000
China,13M,13000000
Bolivia,13M,13000000
Oman,12M,12000000
Zambia,12M,12000000
Angola,12M,12000000
Benin,11M,11000000
Togo,11M,11000000
El Salvador,11M,11000000
Syria,10M,10000000
Bahrain,10M,10000000
Trinidad & Tobago,10M,10000000
Luxembourg,9.5M,9500000
Cyprus,9.2M,9200000
Madagascar,9.0M,9000000
Kenya,8.8M,8800000
Mauritania,8.5M,8500000
Congo,8.2M,8199999
Namibia,8.0M,8000000
Azerbaijan,7.8M,7800000
Armenia,7.5M,7500000
Guatemala,7.2M,7200000
Vietnam,7.0M,7000000
Lebanon,6.8M,6800000
India,6.5M,6500000
Tajikistan,6.3M,6300000
Thailand,6.0M,6000000
North Korea,5.8M,5800000
Palestine,5.5M,5500000
Kyrgyzstan,5.3M,5300000
Kazakhstan,5.0M,5000000
Estonia,4.8M,4800000
Faroe Islands,4.6M,4600000
Kuwait,4.4M,4400000
Sudan,4.2M,4200000
Libya,4.0M,4000000
Sierra Leone,3.9M,3900000
Niger,3.8M,3800000
Malawi,3.7M,3700000
Zimbabwe,3.6M,3600000
Central African Republic,3.5M,3500000
Latvia,3.4M,3400000
Lithuania,3.3M,3300000
Moldova,3.2M,3200000
Andorra,3.0M,3000000
Malta,2.9M,2900000
San Marino,2.8M,2800000
Gibraltar,2.7M,2700000
Liechtenstein,2.6M,2600000
Guyana,2.5M,2500000
Suriname,2.4M,2400000
Bermuda,2.3M,2300000
Antigua & Barbuda,2.2M,2200000
Dominican Republic,2.1M,2100000
Puerto Rico,2.0M,2000000
St. Lucia,1.9M,1900000
Grenada,1.8M,1800000
St. Vincent,1.7M,1700000
Montserrat,1.6M,1600000
Cuba,1.5M,1500000
Barbados,1.4M,1400000
Belize,1.3M,1300000
Cambodia,1.2M,1200000
Nepal,1.1M,1100000
Bangladesh,1.0M,1000000
Bhutan,950K,950000
Maldives,900K,900000
Sri Lanka,850K,850000
Laos,800K,800000
Mongolia,750K,750000
Brunei,700K,700000
