rank,team,points
1,France,1877.32
2,Spain,1876.4
3,Argentina,1874.81
4,England,1825.97
5,Portugal,1764.21
6,Brazil,1761.16
7,Netherlands,1757.87
8,Morocco,1755.87
9,Belgium,1734.71
10,Germany,1730.37
11,Croatia,1717.07
12,Italy,1700.37
13,Colombia,1693.09
14,Mexico,1681.03
15,Senegal,1679.99
16,United States,1673.13
17,Uruguay,1673.07
18,Japan,1660.43
19,Switzerland,1649.4
20,Denmark,1620.81
21,Iran,1616.9
22,Türkiye,1603.21
23,Ecuador,1599.43
24,Austria,1587.3
25,South Korea,1572.61
26,Nigeria,1566.5
27,Australia,1563.81
28,Algeria,1555.2
29,Egypt,1548.91
30,Canada,1547.01
31,Norway,1544.11
32,Ukraine,1539.4
33,Panama,1535.12
34,Ivory Coast,1531.0
35,Poland,1528.23
36,Russia,1525.0
37,Wales,1522.61
38,Sweden,1520.25
39,Czechia,1517.4
40,Paraguay,1515.22
41,Serbia,1512.44
42,Scotland,1509.8
43,Hungary,1507.22
44,Tunisia,1501.6
45,Cameroon,1498.43
46,Congo DR,1490.8
47,Greece,1488.32
48,Slovakia,1485.4
49,Venezuela,1478.1
50,Uzbekistan,1476.51
51,Costa Rica,1471.2
52,Mali,1468.9
53,Peru,1466.42
54,Chile,1463.11
55,Romania,1460.05
56,Slovenia,1455.4
57,Qatar,1452.12
58,Iraq,1449.6
59,Republic of Ireland,1445.11
60,South Africa,1442.31
61,Saudi Arabia,1440.01
62,Burkina Faso,1437.2
63,Jordan,1432.88
64,Albania,1430.11
65,Bosnia and Herzegovina,1426.9
66,Honduras,1423.4
67,North Macedonia,1419.8
68,United Arab Emirates,1416.32
69,Cape Verde,1413.01
70,Northern Ireland,1410.6
71,Iceland,1407.22
72,Jamaica,1405.0
73,Oman,1402.4
74,Ghana,1399.11
75,Israel,1396.4
76,Georgia,1393.2
77,Montenegro,1390.11
78,Finland,1387.6
79,Bolivia,1383.42
80,Guinea,1380.11
81,Gabon,1377.2
82,Curaçao,1374.6
83,Haiti,1371.9
84,Zambia,1368.4
85,New Zealand,1365.11
86,Bulgaria,1362.0
87,Luxembourg,1359.4
88,Angola,1356.12
89,El Salvador,1353.4
90,Syria,1350.21
91,Bahrain,1347.6
92,Uganda,1344.11
93,Armenia,1341.0
94,Belarus,1338.4
95,Equatorial Guinea,1335.2
96,Benin,1332.11
97,Morocco (Local),1329.0
98,Kyrgyzstan,1326.42
99,Palestine,1323.11
100,Kazakhstan,1320.0
101,Trinidad and Tobago,1317.4
102,Guatemala,1314.11
103,Mauritania,1311.6
104,Central African Republic,1308.2
105,Azerbaijan,1305.4
106,Namibia,1302.11
107,Kenya,1299.0
108,Congo,1296.4
109,Thailand,1293.11
110,Madagascar,1290.2
111,Kosovo,1287.4
112,Mozambique,1284.11
113,Guinea-Bissau,1281.0
114,Tajikistan,1278.4
115,Korea DPR,1275.2
116,Vietnam,1272.11
117,Lebanon,1269.0
118,Cyprus,1266.42
119,Tanzania,1263.11
120,Sudan,1260.0
