team,champion_probability,final_probability,semifinal_probability
Australia,10.0,18.0,22.0
Brazil,7.0,7.0,16.0
Argentina,6.0,9.0,16.0
Colombia,6.0,10.0,14.0
Switzerland,5.0,7.0,12.0
France,5.0,8.0,12.0
Japan,5.0,9.0,16.0
Morocco,4.0,9.0,19.0
Austria,4.0,10.0,13.0
Netherlands,4.0,8.0,19.0
England,4.0,6.0,12.0
Senegal,4.0,6.0,13.0
Belgium,3.0,6.0,13.0
Portugal,3.0,8.0,15.0
Canada,3.0,6.0,14.0
Iran,3.0,8.0,24.0
Spain,3.0,4.0,11.0
Mexico,2.0,9.0,16.0
Uruguay,2.0,3.0,7.0
Paraguay,2.0,4.0,8.0
Norway,2.0,2.0,8.0
Egypt,2.0,5.0,13.0
South Korea,2.0,3.0,11.0
Sweden,2.0,5.0,13.0
Ecuador,1.0,3.0,8.0
Czechia,1.0,4.0,10.0
Qatar,1.0,4.0,8.0
Panama,1.0,3.0,4.0
Scotland,1.0,4.0,7.0
Germany,1.0,3.0,5.0
Croatia,1.0,4.0,11.0
Algeria,0.0,5.0,10.0
