team,group,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,position
Mexico,A,3,2,1,0,5,3,2,7,1
South Korea,A,3,1,1,1,4,4,0,4,2
Czechia,A,3,1,1,1,4,4,0,4,3
South Africa,A,3,0,1,2,3,5,-2,1,4
Canada,B,3,2,1,0,6,2,4,7,1
Switzerland,B,3,1,2,0,5,3,2,5,2
Qatar,B,3,0,2,1,3,4,-1,2,3
Bosnia & Herzegovina,B,3,0,1,2,2,7,-5,1,4
Brazil,C,3,2,1,0,7,2,5,7,1
Morocco,C,3,1,2,0,5,2,3,5,2
Scotland,C,3,0,2,1,3,4,-1,2,3
Haiti,C,3,0,1,2,1,8,-7,1,4
Australia,D,3,1,2,0,5,3,2,5,1
Paraguay,D,3,1,2,0,4,3,1,5,2
USA,D,3,0,2,1,3,4,-1,2,3
Turkey,D,3,0,2,1,3,5,-2,2,4
Germany,E,3,2,1,0,11,3,8,7,1
Ecuador,E,3,2,1,0,7,3,4,7,2
Curacao,E,3,0,1,2,3,9,-6,1,3
Cote d'Ivoire,E,3,0,1,2,3,9,-6,1,4
Netherlands,F,3,3,0,0,6,3,3,9,1
Japan,F,3,0,2,1,3,4,-1,2,2
Sweden,F,3,0,2,1,3,4,-1,2,3
Tunisia,F,3,0,2,1,3,4,-1,2,4
Belgium,G,3,3,0,0,6,3,3,9,1
Iran,G,3,1,1,1,5,4,1,4,2
Egypt,G,3,0,2,1,3,4,-1,2,3
New Zealand,G,3,0,1,2,3,6,-3,1,4
Spain,H,3,2,1,0,7,3,4,7,1
Uruguay,H,3,1,2,0,4,3,1,5,2
Saudi Arabia,H,3,0,2,1,3,5,-2,2,3
Cape Verde,H,3,0,1,2,3,6,-3,1,4
France,I,3,3,0,0,6,3,3,9,1
Senegal,I,3,1,1,1,4,4,0,4,2
Norway,I,3,0,2,1,3,4,-1,2,3
Iraq,I,3,0,1,2,3,5,-2,1,4
Argentina,J,3,3,0,0,6,3,3,9,1
Austria,J,3,1,1,1,4,4,0,4,2
Algeria,J,3,0,2,1,3,4,-1,2,3
Jordan,J,3,0,1,2,3,5,-2,1,4
Portugal,K,3,2,1,0,9,3,6,7,1
Colombia,K,3,1,2,0,6,3,3,5,2
Uzbekistan,K,3,0,2,1,3,5,-2,2,3
DR Congo,K,3,0,1,2,3,10,-7,1,4
England,L,3,3,0,0,7,2,5,9,1
Croatia,L,3,1,1,1,5,4,1,4,2
Panama,L,3,0,2,1,3,4,-1,2,3
Ghana,L,3,0,1,2,2,7,-5,1,4
